Name,Width,Height,Depth,Painter,Country,Price,Category
S/T 7,14.2,18.5,0.1,Ildefonso Martin,Spain,$580,Paintings
Grendizer,11.8,11.8,0.8,Tarek Ben Yakhlef,France,$420,Paintings
Monument (Valley) to Time,24,48,1.5,lori leachman,,"$1,570",Paintings
Sculpture men,11.8,11.8,0.6,Constanze Kratzsch,,$760,Paintings
Intention,19.7,23.6,0.6,Daria Petrova,Poland,$690,Paintings
Emotional Labor,31.5,23.6,0.8,Yanin Ruibal,Mexico,"$1,360",Paintings
Fancy Ibis,23.4,33.1,0,Anna Brazhnikova,Ukraine,$410,Paintings
Swish,29.9,28.7,0,stephanie tuckwell,United Kingdom,"$1,780",Paintings
Bifurcación,23.6,31.5,1.6,Alejandro Sosa,,$510,Paintings
It must Swing 5,39.4,27.6,0,Andreas Kuhn,Germany,$620,Paintings
Augusta Metropolis Silver V,15.7,15.7,0.8,Jerome Cholet,Germany,$580,Paintings
"Butterfly painting ""Neope armandii""",39.2,39.3,0,Malwina Jachimczak,,$850,Paintings
Market day,55.1,31.5,0.6,Dolph KAYITANKORE,Rwanda,$940,Paintings
Soft Dunes 2,20,20,1.5,Mary Hubley,United States,"$1,500",Paintings
Free love,8,8,1,Charon Graham,Canada,$360,Paintings
la gorgone,13.8,19.7,0.8,Vincenzo Russo,,$550,Paintings
A fish,63,45.3,0,Joseph Fanjoy,France,"$1,480",Paintings
Mythical Beast II,22.8,25.6,0.4,Nguyen-Tri Ha,Vietnam,"$3,070",Paintings
Tarsis,23,13,1,Abla Watchey,United States,$424,Paintings
Altai,16.5,11.8,0,Anna Schill,,$200,Paintings
"Figurative Abstract Oil Painting ""Composition with white""",15.7,11.8,0.8,Roman Dolgopolov,Poland,"$1,039",Paintings
HEL MORT's One Bride Two Bride®,27.6,47.2,0.4,HEL MORT,United Kingdom,"$2,999",Paintings
Pensive Dancer,36,48,1.5,Linda Cafritz,United States,"$3,560",Paintings
Playing Chess,58.7,16.9,1.6,Ego Miram,Netherlands,$860,Paintings
A memory of summer,39.4,39.4,2,Yana Kostadinova,,"$2,070",Paintings
The serious man,6.1,11.8,0.2,Constanze Kratzsch,,$170,Paintings
Forest,16.5,11.8,0,Anna Schill,,$320,Paintings
butterfly (blue),11.4,9.4,0,Nicole Wedeschkin,,$210,Paintings
N°95,39.4,28,0.8,nathalie moizard,,"$1,310",Paintings
Blue Abstract Acrylic Painting M0002,30,40,2,Drunk Abstracts,India,"$3,270",Paintings
A Peep Inside,12,12,1,Ishan Hewage,Sri Lanka,$380,Paintings
Panjtan Pak Names,30,24,1,Sana Nisar,Pakistan,$540,Paintings
Night butterflies,31.5,23.6,0.8,Katia Solodka,Ukraine,$860,Paintings
Super Pop Lover,27.6,63,0.8,Yann FREDERICQUE,France,"$3,610",Paintings
Encountering,23.6,23.6,0.1,Jiri Svetlik,Czech Republic,$630,Paintings
Nature fighting light,35.4,23.6,0.8,A ML,Portugal,$720,Paintings
"G r i n d e m - Modern, Minimalism, abstraction",39.4,51.2,0.8,Julia Dunko,Poland,"$1,260",Paintings
The Changes,39.4,47.2,1.6,Zuzana Bürger,Czech Republic,"$1,310",Paintings
Sol Florido,12,24,1.5,Aileen Rosario,United States,$345,Paintings
A Sunday Kind Of Mood,30,22,1,Brooke Sauer,United States,$545,Paintings
Bitcoin de transformations,59.1,57.9,0,Andrea Plaza,France,"$2,000",Paintings
A story without end,27.6,27.6,0.8,Sophie Dumont,France,"$4,010",Paintings
Water over Sky.,20,16,0.8,MARTINE HARRIS,United States,"$1,750",Paintings
Collar no 1445,7.9,7.9,0.1,Ted Hesselbom,Sweden,"$1,140",Paintings
Cow Painting (1187),40,40,0.1,Agostino Veroni,Italy,$589,Paintings
Carreto,45,55,2,luise eru,Brazil,"$11,000",Paintings
"A beautiful modern semi-abstract painting ""Simply Beautiful""",19.7,27.6,1.6,Vera Hoi,Austria,$790,Paintings
Une femme au printemps. A woman in the Spring.,19.7,23.6,0.8,Monica Forrer,Switzerland,"$1,760",Paintings
Sortilegio (10),66.9,66.9,2,Marcela Ramirez-Aza,Colombia,"$6,550",Paintings
Trouble,24,24,1.5,Deborah Sisco,United States,"$1,300",Paintings
City VII -Roses,39.4,19.7,3.9,Greg Mason Burns,United States,"$2,770",Paintings
"Garza rojiza, bandiadora – Chak Bok (Egretta rufescens)",19.7,27.6,0.4,Froylán Boutros,Mexico,"$2,160",Paintings
City By The Sea,22,24,1.5,Maurice Sapiro,United States,"$3,010",Paintings
Red Church,27.6,19.7,0.8,Andrea Morelli,Italy,$610,Paintings
The crime game,47.2,23.6,0.8,Giovanna Mancuso,Italy,"$2,820",Paintings
Fauna,36,48,1.5,Hadley Rampton,United States,"$4,850",Paintings
Atlantic blue,31.9,26,0.8,orlando pereira,Portugal,"$5,450",Paintings
Nocturne,31.5,31.5,0.8,Emilie Lagarde,France,$930,Paintings
Indian with a Stetson,23.6,23.6,23.6,eva christin laszka,Norway,"$1,370",Paintings
Hatch with yellow and green shadows,7.5,7.5,1,Siri Tenden,Norway,$340,Paintings
One Headlight,12,12,0.1,Kat Crosby,United States,$175,Paintings
Head 10B,23.6,31.5,1.2,Dario Moschetta,Italy,"$1,350",Paintings
Evening in the Carpathians / Вечір у Карпатах,48,48,1,Bo Kravchenko,United States,"$2,705",Paintings
No. 3,9,12,0.1,Nina Lance,United States,$185,Paintings
Wave study,23.6,31.5,1.2,Grażyna Smalej,Poland,"$2,310",Paintings
ALLEGRO Nr. 5,49.2,65,2,Daniel Bautista,Spain,"$3,843",Paintings
Melodia,19.7,15.7,0.1,Francesco D'Adamo,Italy,$380,Paintings
YELLOW HILLS,49.2,65,2,Daniel Bautista,Spain,"$3,559",Paintings
L'EMBARRAS DU CHOIX,31.5,31.5,0.8,jean-humbert savoldelli,France,"$2,710",Paintings
Kurt & Dave backstage,5,5,0.8,Christy Powers,United States,$235,Paintings
Florification,34,36,1.5,Lisa Carney,Canada,"$1,760",Paintings
Daydream 29,30.7,30.7,1.2,Hossam Dirar,Egypt,"$2,800",Paintings
Reclining Nude,24,24,1.5,greg morrissey,United States,$830,Paintings
Tall Grass,27.6,43.3,0,Isabelle Schenckbecher-Quint,France,"$1,110",Paintings
BANANA TREE,23.6,23.6,0.8,Anna Bogushevskaya,Singapore,$610,Paintings
"who's afraid of red XVII ""a lovely day""",35.4,47.2,5.9,Christian De Wulf,Belgium,"$5,650",Paintings
“Doodle-oo! Doodle-oo! Doodle-oo!”,48,36,1.5,Philip Leister,,"$1,000",Paintings
Dreaming No.2,59.1,47.2,1.8,Beate Garding Schubert,Germany,"$3,750",Paintings
The Profound Blue Sea,62,45,0.1,Yeachin Tsai,United States,"$2,600",Paintings
Magnetic 2,30,40,1.5,Hilary Winfield,United States,"$1,495",Paintings
Akpe - Appreciation,12,12,1,Idris Habib,United States,"$1,800",Paintings
Street view of Piran ( Slovenia),8.3,11,0,Konrad Biro,Hungary,$310,Paintings
Were That Simple,5,5,0.7,Josh M G Yates,United States,$190,Paintings
"Some Wander, Some Stay",18,18,1.5,GINA COCHRAN,United States,$790,Paintings
Emotion 1031,40,40,0.1,jingshen you,China,"$1,460",Paintings
Blue Loop,48,48,0.1,Steph Gimson,United States,"$3,210",Paintings
after rothko/ abstract lines,31.5,31.5,0.8,ANDREA PALLANG,Slovakia,"$2,710",Paintings
Lovers Paradise,23.6,23.6,0.8,Nim KaNim,Germany,"$1,210",Paintings
English Garden (Diptych),46,22,0.1,Yeachin Tsai,United States,"$1,200",Paintings
Native,16.5,23.4,0,Christel Haag,Germany,$610,Paintings
Patience II,39.4,47.2,1.2,Yanin Ruibal,Mexico,"$3,070",Paintings
lemon bowel,15,22.4,0.4,yossi kotler,Israel,$850,Paintings
Provincial Stage Prop,36.2,28.7,0.8,Karolina Zglobicka,Spain,"$1,310",Paintings
My Sake and Sashimi Platter,18.2,23.2,0.1,Misako Chida,China,$420,Paintings
Golden Mean #3,16,20,1,Jonathan McAfee,United States,$880,Paintings
Turbulence 3,60,48,1.5,Melisa Taylor,Canada,"$3,250",Paintings
Camelia I,10.6,13.8,0.8,Anna Madia,France,"$1,780",Paintings
Almost gray - 11,31.5,39.4,0.1,LN Le Cheviller,France,$960,Paintings
STUDIO SALE / Holding On,24,24,1,Cindy Press,United States,"$1,030",Paintings
Elemental Move,59.1,39.4,1.6,FINTAN WHELAN,Ireland,"$4,450",Paintings
Spring in London,63,47.2,0.8,Marta Zawadzka,Poland,"$4,300",Paintings
A Thousand Words,30,42,1.2,János Huszti,Hungary,"$2,360",Paintings
Burgundy,30,30,1.5,Nadia NL,Canada,$610,Paintings
Woman with Yellow Cat,16,20,0.8,Naoko Paluszak,United States,"$1,400",Paintings
Isolation#12,11.8,11.8,1.2,Lena Krashevka,Germany,"$1,560",Paintings
Black And White Energy L 1,33.5,61,1.5,Peter Nottrott,Germany,"$2,260",Paintings
Rolover the tag # 2,27.6,39.4,0,Mister Artsy Graffiti Street Art Amsterdam,Netherlands,$480,Paintings
Hill Side,68,35,1,Vahe Yeremyan,United States,"$3,600",Paintings
Canal Street,60,40,1.5,Sue Graef,United States,"$6,400",Paintings
'These Are Not The Most Important Things',11.8,11.8,0.8,Robert Bubel,Poland,"$1,360",Paintings
Deux coeurs à l'unisson - Small abstract painting - Ready to hang,12,12,1.5,Chantal Proulx,Canada,$305,Paintings
"Deer, Wood, Sky",60,42,2,Patrick Harris,United States,"$9,000",Paintings
Bonsai #3 of 3 (Night),28.6,35.8,1,Adam Norgaard,Japan,"$1,610",Paintings
Winter Bliss,24,30,1.5,Alissa Kim Tjen,Canada,"$1,500",Paintings
Agapanthe II,23.6,23.6,1.2,Stéphanie de Malherbe,France,"$1,622",Paintings
Rural children herding buffaloes and flying kites,37.4,47.2,1,Phung Wang,Vietnam,"$2,210",Paintings
Green Energy Waves L 1,61,33.5,1.5,Peter Nottrott,Germany,"$2,490",Paintings
Golden Twilight 12,16,22,0.1,Parisa Diba,United States,$800,Paintings
Drop,10,10,1.5,Adreon Henry,United States,$430,Paintings
The great masterpiece.,39.4,47.2,0.8,Cristina Cañamero,Spain,"$2,070",Paintings
Memories Of Places Long Forgotten,41.3,49.2,2,Martin Irish,United Kingdom,"$2,200",Paintings
"''Connected""",24,36,0.5,Magdalena Krzak,United States,"$1,700",Paintings
Happy Days,18,36,1.5,Stephanie Rivet,Canada,"$1,230",Paintings
Powder River,48,72,2,Larry Hill,United States,"$7,000",Paintings
Nature 66,35.4,35.4,1.6,muriel napoli,France,"$3,211",Paintings
"The Look, Series 17 #88",22,30,0.1,Heather Goodwind,United States,"$1,140",Paintings
Sky New York,18.1,18.1,1.2,Trevisan Carlo,Italy,"$1,600",Paintings
Look at this one,59,43.4,1,Tommy Lennartsson,Sweden,"$4,000",Paintings
Bloom when it’s time to Bloom.,63,78.7,1.6,Manuela Karin Knaut,Germany,"$6,750",Paintings
Abstract Interior (primary colors blue no.2),16,20,1.5,Pamela Staker,United States,"$1,350",Paintings
after piet mondrian color symphony  abstract,31.5,31.5,0.8,ANDREA PALLANG,Slovakia,"$2,710",Paintings
Smelling the roses #7,40.3,20.1,0,Rodrigue Semabia,United States,$378,Paintings
Havana,31.5,35.4,1.4,Molly Brocklehurst,United Kingdom,"$2,140",Paintings
London,35,45.7,0.8,Annabel Andrews,Spain,"$4,170",Paintings
Eighty-Eights,30,40,1.5,Jeffrey Tover,United States,"$2,470",Paintings
For the Love of Books,30,40,0,Rene Griffith,United States,"$3,010",Paintings
CEMENTO BRUCIATO 091,44.9,70.9,0,Andrea de Ranieri,Italy,"$5,950",Paintings
Galaxy Suite,56,68,0.1,Yeachin Tsai,United States,"$6,000",Paintings
picking onions,15,22.4,0,yossi kotler,Israel,$850,Paintings
CONFETI Nr. 1,49.2,65,0,Daniel Bautista,Spain,"$3,175",Paintings
L'homme qui marche 1,24,18.1,0,Wilfrid Moizan,Saint Martin,"$1,140",Paintings
"Gloomy Day, Landscape with Boats",30,24,0,Suren Nersisyan,United States,"$1,500",Paintings
Souvenirs de voyage - Small joyful abstract panting - Ready to hang,12,12,0.8,Chantal Proulx,Canada,$305,Paintings
Red Roses and Lemons,30,24,0.6,Suren Nersisyan,United States,$900,Paintings
daily totem 032,19.7,55.1,1.2,Ilgvars Zalans,Latvia,"$2,975",Paintings
Scenic Overlook,66,50,1.8,David McGlothlin,United States,"$5,150",Paintings
"SPILL OFF 1/OIL ON PAPER /2020/30""X40""",30,44,0,Francisco Gomez,Canada,$420,Paintings
Autumn,12.8,9.8,0,gunjan saxena,United Kingdom,$200,Paintings
Monkey #1,31.5,23.6,2,Mochamad Rizky Aditya,Indonesia,"$1,660",Paintings
«Chill with me» Mechanical people series,31.5,11.8,1,Olga Skvortsova,France,$910,Paintings
Balloon Dog Painting. Acrylic Painting Original,27.6,31.5,0.8,Ksenia Voynich,Spain,"$1,040",Paintings
Golden hour,23.6,23.6,0.8,Lilly Chan,,$280,Paintings
herbes sauvages,25.6,31.9,0.8,Sophie Chédeville,,"$1,380",Paintings
"Rise up, rise up",23.4,33.1,0.8,Nigel Smith,United Kingdom,"$1,175",Paintings
GOLDEN GATE PARK 2022 / MINIATURE,16,20,1,Alex Nizovsky,United States,$890,Paintings
MT. TAMALPAIS FIR FOREST / MINIATURE,20,16,1,Alex Nizovsky,United States,$890,Paintings
Fruits,16.5,11.8,0,Anna Schill,,$270,Paintings
4520211213,31.5,31.5,0.8,jean-jacques MINARDI,France,"$1,033",Paintings
AE206-22,40,20,1.5,Amanda J Aspinall,United Kingdom,$890,Paintings
No Name,47.2,66.9,2,Fatma Kara,Turkey,"$26,200",Paintings
No Name,47.2,59.1,2,Fatma Kara,Turkey,"$21,200",Paintings
Dreams and Kisses,31.5,23.6,0.8,Aiste Ciurlionyte,Lithuania,$840,Paintings
female nude,31,24,1.5,Steven Agin,United States,"$3,310",Paintings
Midnight Dance with the San,45.3,48.4,2,Astrid Krag-Olsen,Zambia,"$2,470",Paintings
galaxy,19.7,27.6,2,keti dochia,Georgia,$950,Paintings
Perfect Sundance,19.7,31.5,1.4,Julie Wynn,Spain,$840,Paintings
Nightfall,15.7,19.7,0,Annelies Hoogerwerf,Netherlands,$175,Paintings
ORIENTAMENTO,21.7,27.6,0.4,miriam chiera,Italy,$550,Paintings
The duality of thought and being,48,24,1,Benjamin James,United States,"$1,720",Paintings
Mundo Estranho,57.5,40.9,0.8,elso arruda filho,Brazil,"$4,270",Paintings
Black Veil,11.8,15.7,0.4,Georgia Theologou,Greece,$170,Paintings
Man And His Dog Statue,18.1,24,0.1,Christine Beard,Australia,"$1,080",Paintings
Unthinkable Possibilities,64.3,79.6,1,Lucian Brumă,Romania,"$11,900",Paintings
Peacock on the tree Madhubani painting,8.1,11.6,1,CREATIVE WORLD,,$150,Paintings
A girl,15.7,19.7,1.2,DANA DANA,Israel,"$2,850",Paintings
Ionian Sea morning.,11.8,9.8,0.8,Altin Furxhi,Italy,$299,Paintings
Portofino Painting (1142),60,40,0.1,Agostino Veroni,Italy,"$1,039",Paintings
Landscape painting Moon way gold  original painting,13.8,11.8,0.2,Diana Dimova -TRAXI,Bulgaria,$315,Paintings
Wulf,8,12,0.1,Greg Lucas,United States,$650,Paintings
Heritage,35.4,35.4,0.8,Sunny Garden,Germany,"$4,850",Paintings
Emerald & Indigo,15.7,70.9,0.8,Petr Johan Marek,Czech Republic,"$1,160",Paintings
Message,48,24,0.3,Patrick Augustine,United States,"$1,370",Paintings
Aspiration 願,47.2,47.2,1,Kai-Hsing HUANG,Taiwan,"$9,010",Paintings
Parisian Street,5,7,0.1,Marina Egorova,Canada,$170,Paintings
The Wave,27.6,19.7,2,D Rodriguez Vasseur,Spain,$960,Paintings
"Forest butterflies ...Collection of fabulous author's paintings ""Love is ....",30,40,1.4,LIDI FON RID Semenova Lidiya,France,$850,Paintings
Spin 4,36,24,1.5,Hilary Winfield,United States,$495,Paintings
fairytale,49.2,35.4,0.8,Mona Birte Wichstad,Norway,"$2,770",Paintings
2022.7.9,11.8,15.7,0.8,tingqun zhang,United States,"$1,970",Paintings
El Caminante (170829),48,30,0.1,Americo Ccala,,"$2,998",Paintings
Daffodil on Black,11.8,15.7,2,Amanda Lewis,,$190,Paintings
Protection,23.4,33.1,0.2,Amanda Lewis,,$410,Paintings
Teddy bear,8,8,0.7,Tom Off,United States,$425,Paintings
Whisper,20.5,28.3,2,Fatima Mian,United Kingdom,"$1,540",Paintings
Dolce Vita,23.6,35.4,0.6,Diana Shaykhutdinova,United Arab Emirates,"$1,460",Paintings
Little Gold fishes,7.9,7.9,0.6,Maka Sekhniashvili,Georgia,$205,Paintings
Neutrals 3,40,30,1.5,Jen Ramos,United States,"$1,970",Paintings
Angels,27.6,39.4,0,Nicole Papaefthimiou,Greece,$580,Paintings
Untitled black 2,92,45,1.5,Elena Petrova,Canada,"$5,450",Paintings
Abstract Green Pond,41,25,1,David Ruiz,United States,$345,Paintings
Two Buddies,26,19,1,Maryam Mustajab,Pakistan,$600,Paintings
The Faithful One,15,11,2,Luhanri Bekker,South Africa,$705,Paintings
Summer.,16.5,11.7,0.1,Zinaida Vysota Dacenko,Spain,$370,Paintings
Colors of Life - colorful abstract painting,39.4,28.7,0.8,Aliaksandra Tsesarskaya,Spain,"$2,350",Paintings
Defiant,23.6,31.5,0.8,Shelley Sheridan,,"$5,000",Paintings
Black Or White21,19.7,29.5,2,Michael Cheung,Hong Kong,"$2,310",Paintings
Equilibrio,39.5,39.5,1.4,Sigrid Thaler,Italy,"$3,270",Paintings
About Human Condition #13,39.4,39.4,0.6,Shalev Mann,Israel,"$7,200",Paintings
Berlin 06,57.1,37.4,0.4,piotr wadowski,Germany,"$1,760",Paintings
December - original oil painting best gift home decor christmas,27.6,31.5,0.8,Tanja Foster,Slovakia,$410,Paintings
Tea time,15.7,23.6,1.2,Cris Sada,,$800,Paintings
Herceg Novi,39.4,31.5,0.8,Maja Đokić Mihajlović,Serbia,"$3,790",Paintings
Silver Fun,18,36,1,Bobby Bentz,,$340,Paintings
Nebula Archipelago,17.7,22,1.2,Antonio Maggi,United Kingdom,$450,Paintings
Play Drawing #10,8,10,0.1,Vincent Salvati,United States,$265,Paintings
2022-33 abstract,9.6,11.6,0.6,Juan Mildenberger,Canada,$165,Paintings
Colorful butterfly,20,20,1,Nelya Mihneva,Turkey,"$1,900",Paintings
A Curious Amalgam,30,40,1.6,Robert Carroll,United States,$700,Paintings
Letting Go,7.9,7.9,0.4,Lorinda Belmonte,,"$1,930",Paintings
Interdependence number 1,21.7,31.5,0,Tor Banjapat,Thailand,$190,Paintings
Mind wandering #359,31.5,23.6,0,Tung Doan,Vietnam,"$1,140",Paintings
Morning Snow on the Acropolis of Athens Greece,70.9,78.7,1.4,Zachary Zorbas,Greece,"$4,310",Paintings
Girl with a kitten,11.8,15.7,0.8,Iryna Kolesnyk,,"$1,835",Paintings
Closer,15.7,15.7,0.8,Robert La Roche,United Kingdom,$490,Paintings
The Calmness,15.7,15.7,1.2,Magdalena Morey,Spain,$805,Paintings
Scarcroft Road No 1 Painting,11.8,11.8,0.8,Marie Murphy,United Kingdom,$308,Paintings
Untitled 39,48,48,2,Orlando Silva,United States,"$1,460",Paintings
VIM,39.4,39.4,0.6,Fábia Bercsek,Portugal,"$5,410",Paintings
Figs on the table,34.3,27.2,0.8,Elchin Bunyatov,Azerbaijan,"$8,910",Paintings
Out West,32,48,1.3,Eric Taylor,,"$2,400",Paintings
Ameba #1,25.2,33.1,1.6,Kate Barnett,New Zealand,"$2,410",Paintings
Nesma,51.2,51.2,2.8,Magdy Elkafrawy,Egypt,"$5,000",Paintings
Ilona,8.5,11,0,Liz Larson,United States,$240,Paintings
Jars with watches,35.4,23.6,0,Tereza Ordyan,Armenia,"$1,660",Paintings
Dress Rehersal,24,18,0,Alfredo Machado Zingg,United States,$420,Paintings
Lost in Transition 1,36,58,1.5,Aimee Hofmann,,"$4,850",Paintings
Learnings,11,16,1,Nilantha Vidanarachchi,Sri Lanka,"$1,140",Paintings
singer 2,13.8,20.9,0.4,Giorgio Gosti,Italy,$250,Paintings
"# 3766 ""Goodbye""",29.5,9.8,0.8,Evgenia Saré,France,"$3,710",Paintings
Fire in Your Belly,16,20,0.7,Courtney Barnard,United States,$272,Paintings
Harvest time,20,14,0.1,Tatiana Stoilova,Italy,$470,Paintings
Flight of the Amazon Parrot,24,18,0.2,melinda Johnston,United States,$395,Paintings
Sight Unseen #4,59.1,45.7,1.6,Filipe Real Marinheiro,Portugal,"$2,770",Paintings
Autumn Colours In Misty Mountains,9.8,9.8,0.8,Nicola Mountney,Italy,$260,Paintings
ZHERGILIK and ULGEN,40,40,1,Nazyma Rah,United States,"$88,750",Paintings
INSIDE THE DREAM,9.4,11.8,0.6,LAU TIR,Italy,$980,Paintings
Houses at distance / Case in lontananza,7.1,7.5,0.4,Tonino Gottarelli,Italy,"$1,040",Paintings
Sounds of the Flowers. Original Oil Modern Art.,24,36,0.5,Anastasia Tversky,Canada,$600,Paintings
Home and me,27.6,39.4,0.8,Nino Chabashvili,Georgia,"$5,950",Paintings
Patchwork Abstract Series 4,22.5,30,0.1,Mark Perry,United States,$955,Paintings
Copper & Eggs No.3,24,12,0.5,Marny Lawton,United States,$980,Paintings
Movement II,19.7,19.7,0.1,Marilyn Green,Germany,$710,Paintings
Serenity,19.7,27.6,0.8,Екатерина Будько,Poland,$340,Paintings
"""Little Blossoms #4"" floral framed painting",7.8,7.8,0,Anastassia Skopp,Germany,$150,Paintings
AKA,7.1,7.1,0.6,Rui Yoshizaki,,"$2,510",Paintings
The wisdom of the snakes,24,18,0.1,Yana Bila,Austria,$450,Paintings
Blissful Unawareness,27.6,39.4,0.8,Zbynek Soukup,Czech Republic,"$3,530",Paintings
Yves.Blue.Underneath.Pt2,55.1,55.1,2,Thomas Ernst,Germany,"$3,250",Paintings
Smear II,24,36,0.6,Anthony Maggio Jr,United States,"$1,970",Paintings
PORTO_22_01,15.7,15.7,1.2,Eduard Warkentin,Germany,$710,Paintings
My Durga,18,24,0.1,Seemantaparna Ghosh,India,$499,Paintings
Gypsy's Journey,20,16,1.5,Alina Skye,United States,"$3,543",Paintings
MAN AND A COLUMN of FLIES,27.6,39.4,0.6,LAU TIR,Italy,"$1,160",Paintings
Autumn Sea III - Herbstmeer III,12.2,12.2,0.1,Gesa Reuter,Germany,$410,Paintings
the misty seascape III,23.6,23.6,1.6,DIMITRIOS RIMPAS,Greece,"$1,010",Paintings
Playing cards on the beach,16.1,23.2,0.1,Bruno Hernandez,,"$1,040",Paintings
"Woman in Green, Portrait Study, Live Model",16,20,0.2,Daniel Arnold,Canada,$190,Paintings
BOOMBOX 1,39.4,32.7,0.8,Yann FREDERICQUE,France,"$2,810",Paintings
A Heart of Sky according to the book Popol Vuh,11.8,15.7,0.6,Miroslaw Trochanowski,Poland,$450,Paintings
Connection,39.4,49.2,0,Szabo Eszter,Hungary,$940,Paintings
Graal,15.7,23.6,0.8,Łukasz Sysło,Poland,$450,Paintings
Sunrise,47.2,47.2,1.6,Kirstin Dabelstein,Germany,"$4,250",Paintings
Beach Painting ( 1312 ),27,20,0.1,Agostino Veroni,Italy,$359,Paintings
"Whispers in the Dark, No.2",16,16,1.5,Stella and Philippe Coupe,United States,$580,Paintings
Abstraction 65,11.8,15.7,0,Masha Bright,Serbia,$227,Paintings
Tahquitz Canyon,24,30,1,Frank Fang,United States,$980,Paintings
Cat,11,15,0,Nikki Gerak,United Kingdom,$230,Paintings
From the Cretans series: Nyfi,8.3,11.6,0.1,Margaret Scholtysik,Greece,$370,Paintings
While Away,14,14,0.4,Marina Egorova,Canada,$330,Paintings
In Bloom 1,22.5,22.5,0.6,Zoe Hawkins,United States,$730,Paintings
Emotional Waterfall,39.4,39.4,1,Benita Malčiūtė,Lithuania,$880,Paintings
Hotel 1931 -Edward Hopper Copy,30,24,2,Philip Levine,United States,"$2,430",Paintings
Mr. Diogo - Limited Edition 5 of 20,15.7,19.7,0,Charlotte Greeven,Netherlands,$380,Paintings
One woman,19.7,19.7,0.8,Galia Chuntova,Bulgaria,$950,Paintings
The Mystery of the Soul,157.5,55.1,1,Robert van de Graaf,Netherlands,"$15,500",Paintings
Dream before sunrise,11.8,23.6,0.8,Tigran Mamikonyan,Armenia,$630,Paintings
The Creation,19,13,1,June Kim,United States,$980,Paintings
WOMAN DOLL,23.6,27.6,0.7,Elisaveta Sivas,Estonia,"$1,360",Paintings
"Abstract oil painting ""Land 09""",27.6,39.4,1,Karina Antonczak,Poland,"$1,260",Paintings
Imaginary shape I,9.4,11.8,0,Álvaro Marzán,Luxembourg,$740,Paintings
Trinidad,11,14.6,0,esteban vega,Spain,$150,Paintings
Oasis,30,24,0.8,Serguei Borodouline,Canada,"$1,500",Paintings
We are all walking each other home.,45.7,28.3,0.6,Juliane Boulanger,Germany,$995,Paintings
Lemon Grass,35.4,23.6,1.2,Aleksandar Cupovic,,"$1,080",Paintings
A miniature empire,23.1,33.8,0.1,Vu Khiem Dam,Vietnam,$525,Paintings
La grande question,12.6,18.1,2, ,France,"$4,200",Paintings
Dinosaur,15.7,15.7,0.4,Mitchelle Murcia,,$200,Paintings
Loves Chaos,39.4,47.2,1.2,Gray Fairweather,,"$8,110",Paintings
Octopus,59.1,59.1,0.8,Monika Wyłoga,Poland,"$4,950",Paintings
A SUMMER IN THE MEADOW,48,36,0.1,Manju Attili,,"$2,370",Paintings
Alex avec un pap,19.7,19.7,0.2,aka Arpeggio,,"$3,870",Paintings
Russell - Charmer,39.4,47.2,1.6,Caroline Walker,,"$3,250",Paintings
La viaggiatrice (She travels),19.7,23.6,0.6,Sergio Lanna,Italy,"$7,050",Paintings
Girl in Galaxy,16.5,23.2,0.1,Christina Svensson,,$940,Paintings
Still life with teapot and pears,23.6,19.7,0.8,Irina Shmeleva,Germany,$470,Paintings
Fifth Element,20,16,0.5,Tara Kuhnert Hotchkis,United States,$800,Paintings
Wabi,31.5,23.6,0.4,Mia Cometa,Spain,"$1,260",Paintings
Garden of Knowledge,30,40,2,Juliana Lachance,Canada,$480,Paintings
An Elephant's Birthday,24,32,1,Rolandas Butkevičius,Lithuania,"$1,560",Paintings
Portrait of a freckled girl,15.9,20.1,0.6,Anastasia Ladatko,,"$7,845",Paintings
Canal Grande in Trieste Italy at Sunset,30,20,1,M Bleichner,Germany,$737,Paintings
The artificial skater,31.5,23.6,0.8,Bart Daems,Belgium,"$3,270",Paintings
Icarus,11.6,9.1,0.1,Daniele Marazzi,Italy,$180,Paintings
Sunflowers,30,40,2,Richio Galvez,United States,"$8,050",Paintings
Bridge and Loading Cranes,24,18,0.5,Erin McGee Ferrell,United States,"$1,450",Paintings
The Visitor,85,45.7,0,filip callewaert,Belgium,$795,Paintings
"Original acrylic abstract painting ""Serata D'Agosto""",23.6,27.6,1.2,Roxanne Passos,Italy,$590,Paintings
Imaginacion,27.6,35.4,0.6,Agata Matczak,Germany,$490,Paintings
TREE OF LIFE,19,23,1,Kits Dart,India,"$1,040",Paintings
In the Woods,15.7,11.8,0.6,Agnes Bosze,,$380,Paintings
Figure 02,29.5,55.1,0.4,piotr wadowski,Germany,"$1,660",Paintings
Couple,17.7,23.6,1.6,Jeffery Yiwang,,$610,Paintings
Yachts at sea #8,7.1,10.2,0,Eugenia Gorbacheva,Turkey,$189,Paintings
Kingfisher,19.7,27.6,0.2,Elmira Ussenova,,$840,Paintings
AZUL 011,10.8,7.9,0,Carmen Salvador Velez,United States,"$2,170",Paintings
Down that Road,11.7,16.5,1,Sara Dias,South Africa,$600,Paintings
TÚ Y EL OTRO TÚ,39.4,39.4,1.2,Concha Flores Vay,Spain,"$3,370",Paintings
six-part,20.9,20.9,0.8,Bart Daems,Belgium,"$1,910",Paintings
